,French,English
0,demande,request
1,mois,month
2,laisser,let
3,car,because
4,mettre,to put
5,aucun,no
6,laisse,leash
7,eux,them
8,ville,city
9,bébé,baby
10,longtemps,long time
11,heures,hours
12,pendant,while
13,revoir,meet again
14,aucune,any
15,parle,speak
16,savais,knew
17,étaient,were
18,voici,here is
19,pourrais,could
20,affaire,case
21,donner,give
22,train,train
23,yeux,eyes
24,façon,way
25,écoute,listen
26,trouve,find
27,premier,first
28,perdu,lost
29,main,hand
30,côté,side
31,pouvoir,power
32,vieux,old
33,sois,be
34,tiens,here
35,matin,morning
36,tellement,so much
37,enfant,child
38,point,point
39,suite,after
40,pardon,sorry
41,venez,come
42,devant,in front of
43,vers,towards
44,minutes,minutes
45,demandé,request
46,mis,placed
47,belle,beautiful
48,aimerais,would like to
49,aujourd'hui,today
50,mari,husband
51,cause,cause
52,espère,hope
53,eau,water
54,attendez,Wait
55,parti,left
56,nouvelle,new
57,boulot,job
58,compte,account
59,loin,far
60,fin,end
61,croire,believe
62,gros,large
63,aura,will have
64,jouer,to play
65,bureau,office
